name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"James Harden","Houston Rockets",2015-11-27,2015,3992,1610612745,400828119,1,3,29,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Philadelphia 76ers",0,1,0,0.60,"Okafor, Jahlil",2.80,1.80
"James Harden","Houston Rockets",2016-03-31,2015,3992,1610612745,400829011,1,0,00,0,"Alley Oop Layup shot","2PT Field Goal",4,"Chicago Bulls",-7,41,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2015-12-29,2015,3992,1610612745,400828357,3,7,33,0,"Alley Oop Layup shot","2PT Field Goal",0,"Atlanta Hawks",6,7,0,2.40,"Bazemore, Kent",3.10,14.70
"James Harden","Houston Rockets",2016-01-30,2015,3992,1610612745,400828598,1,9,31,1,"Cutting Dunk Shot","2PT Field Goal",0,"Washington Wizards",0,1,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2016-02-25,2015,3992,1610612745,400828746,3,6,15,1,"Cutting Dunk Shot","2PT Field Goal",0,"Portland Trail Blazers",0,1,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2016-04-11,2015,3992,1610612745,400829094,3,7,59,1,"Cutting Dunk Shot","2PT Field Goal",0,"Minnesota Timberwolves",0,1,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2016-03-27,2015,3992,1610612745,400828980,2,5,26,1,"Cutting Finger Roll Layup Shot","2PT Field Goal",0,"Indiana Pacers",-4,2,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2016-03-27,2015,3992,1610612745,400828980,1,3,19,1,"Cutting Finger Roll Layup Shot","2PT Field Goal",1,"Indiana Pacers",-11,2,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2015-11-11,2015,3992,1610612745,400828006,3,10,27,1,"Cutting Layup Shot","2PT Field Goal",1,"Brooklyn Nets",-12,2,0,0.70,"Johnson, Joe",2.50,20.90
"James Harden","Houston Rockets",2015-12-23,2015,3992,1610612745,400828313,1,3,01,0,"Cutting Layup Shot","2PT Field Goal",1,"Orlando Magic",1,11,0,1.10,"Vucevic, Nikola",2.20,24.00
"James Harden","Houston Rockets",2015-11-13,2015,3992,1610612745,400828023,1,4,41,1,"Cutting Layup Shot","2PT Field Goal",1,"Denver Nuggets",-14,7,1,1.80,"Foye, Randy",3.00,12.30
"James Harden","Houston Rockets",2016-02-23,2015,3992,1610612745,400828730,5,0,34,1,"Cutting Layup Shot","2PT Field Goal",2,"Utah Jazz",-25,3,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2015-12-31,2015,3992,1610612745,400828372,2,6,01,0,"Cutting Layup Shot","2PT Field Goal",0,"Golden State Warriors",-7,7,0,0.70,"Bogut, Andrew",3.00,24.00
"James Harden","Houston Rockets",2015-11-11,2015,3992,1610612745,400828006,1,3,46,1,"Cutting Layup Shot","2PT Field Goal",2,"Brooklyn Nets",-16,16,0,0.60,"Bogdanovic, Bojan",4.80,14.00
