name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Dwyane Wade","Miami Heat",2011-01-30,2010,1987,1610612748,310130025,1,4,55,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",-4,7,,,,,
"Dwyane Wade","Miami Heat",2011-01-31,2010,1987,1610612748,310131014,1,11,44,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Cleveland Cavaliers",9,16,,,,,
"Dwyane Wade","Miami Heat",2011-02-16,2010,1987,1610612748,310216028,2,7,30,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Toronto Raptors",9,11,,,,,
"Dwyane Wade","Miami Heat",2011-04-01,2010,1987,1610612748,310401016,3,10,29,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Minnesota Timberwolves",9,-14,,,,,
"Dwyane Wade","Miami Heat",2010-10-27,2010,1987,1610612748,301027020,3,10,29,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Philadelphia 76ers",-2,3,,,,,
"Dwyane Wade","Miami Heat",2010-10-29,2010,1987,1610612748,301029014,1,3,41,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"Orlando Magic",23,12,,,,,
"Dwyane Wade","Miami Heat",2011-04-08,2010,1987,1610612748,310408014,3,8,51,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Charlotte Hornets",-13,7,,,,,
"Dwyane Wade","Miami Heat",2011-02-11,2010,1987,1610612748,310211008,1,6,52,1,"Alley Oop Layup shot","2PT Field Goal",0,"Detroit Pistons",0,6,,,,,
"Dwyane Wade","Miami Heat",2011-03-12,2010,1987,1610612748,310312014,4,8,07,1,"Alley Oop Layup shot","2PT Field Goal",2,"Memphis Grizzlies",-16,15,,,,,
"Dwyane Wade","Miami Heat",2010-10-26,2010,1987,1610612748,301026002,4,4,57,0,"Alley Oop Layup shot","2PT Field Goal",0,"Boston Celtics",7,6,,,,,
"Dwyane Wade","Miami Heat",2011-04-03,2010,1987,1610612748,310403017,1,11,20,1,"Alley Oop Layup shot","2PT Field Goal",1,"Brooklyn Nets",-16,7,,,,,
"Dwyane Wade","Miami Heat",2010-11-02,2010,1987,1610612748,,2,2,48,1,"Alley Oop Layup shot","2PT Field Goal",2,"Minnesota Timberwolves",-4,26,,,,,
"Dwyane Wade","Miami Heat",2010-11-27,2010,1987,1610612748,301127006,1,3,27,1,"Driving Bank shot","2PT Field Goal",6,"Dallas Mavericks",-64,25,,,,,
"Dwyane Wade","Miami Heat",2011-01-03,2010,1987,1610612748,310103030,2,7,35,1,"Driving Bank shot","2PT Field Goal",6,"Charlotte Hornets",-24,64,,,,,
"Dwyane Wade","Miami Heat",2010-11-29,2010,1987,1610612748,301129014,1,10,26,0,"Driving Dunk Shot","2PT Field Goal",1,"Washington Wizards",-11,14,,,,,
"Dwyane Wade","Miami Heat",2011-02-27,2010,1987,1610612748,310227014,4,11,13,1,"Driving Dunk Shot","2PT Field Goal",2,"New York Knicks",-4,23,,,,,
"Dwyane Wade","Miami Heat",2010-12-28,2010,1987,1610612748,301228014,4,2,56,1,"Driving Dunk Shot","2PT Field Goal",2,"New York Knicks",17,14,,,,,
"Dwyane Wade","Miami Heat",2010-11-02,2010,1987,1610612748,,2,5,00,1,"Driving Dunk Shot","2PT Field Goal",2,"Minnesota Timberwolves",24,17,,,,,
"Dwyane Wade","Miami Heat",2010-12-15,2010,1987,1610612748,301215014,1,3,36,1,"Driving Dunk Shot","2PT Field Goal",2,"Cleveland Cavaliers",-9,22,,,,,
"Dwyane Wade","Miami Heat",2010-11-17,2010,1987,1610612748,301117014,2,5,46,1,"Driving Dunk Shot","2PT Field Goal",2,"Phoenix Suns",4,25,,,,,
"Dwyane Wade","Miami Heat",2010-11-27,2010,1987,1610612748,301127006,2,1,16,0,"Driving Dunk Shot","2PT Field Goal",0,"Dallas Mavericks",4,4,,,,,
"Dwyane Wade","Miami Heat",2010-12-13,2010,1987,1610612748,301213014,1,6,42,1,"Driving Dunk Shot","2PT Field Goal",2,"New Orleans Pelicans",21,12,,,,,
"Dwyane Wade","Miami Heat",2010-11-13,2010,1987,1610612748,301113014,4,4,55,1,"Driving Dunk Shot","2PT Field Goal",0,"Toronto Raptors",-8,0,,,,,
"Dwyane Wade","Miami Heat",2010-11-09,2010,1987,1610612748,301109014,5,3,22,1,"Driving Dunk Shot","2PT Field Goal",1,"Utah Jazz",1,16,,,,,
"Dwyane Wade","Miami Heat",2010-12-25,2010,1987,1610612748,301225013,2,4,01,1,"Driving Dunk Shot","2PT Field Goal",1,"Los Angeles Lakers",-18,6,,,,,
"Dwyane Wade","Miami Heat",2010-11-24,2010,1987,1610612748,301124019,4,7,11,1,"Driving Dunk Shot","2PT Field Goal",0,"Orlando Magic",0,6,,,,,
"Dwyane Wade","Miami Heat",2011-02-16,2010,1987,1610612748,310216028,4,9,27,1,"Driving Dunk Shot","2PT Field Goal",1,"Toronto Raptors",0,12,,,,,
"Dwyane Wade","Miami Heat",2011-03-16,2010,1987,1610612748,310316014,1,10,01,0,"Driving Dunk Shot","2PT Field Goal",1,"Oklahoma City Thunder",-5,17,,,,,
"Dwyane Wade","Miami Heat",2010-12-04,2010,1987,1610612748,301204014,3,9,23,1,"Driving Dunk Shot","2PT Field Goal",2,"Atlanta Hawks",15,17,,,,,
"Dwyane Wade","Miami Heat",2010-12-17,2010,1987,1610612748,301217018,4,5,29,1,"Driving Dunk Shot","2PT Field Goal",3,"New York Knicks",29,14,,,,,
"Dwyane Wade","Miami Heat",2011-03-08,2010,1987,1610612748,310308014,4,11,33,1,"Driving Dunk Shot","2PT Field Goal",2,"Portland Trail Blazers",17,17,,,,,
"Dwyane Wade","Miami Heat",2011-02-25,2010,1987,1610612748,310225014,2,11,20,1,"Driving Dunk Shot","2PT Field Goal",2,"Washington Wizards",-2,22,,,,,
"Dwyane Wade","Miami Heat",2011-02-08,2010,1987,1610612748,310208014,4,9,02,1,"Driving Dunk Shot","2PT Field Goal",0,"Indiana Pacers",2,0,,,,,
"Dwyane Wade","Miami Heat",2010-12-15,2010,1987,1610612748,301215014,2,0,40,1,"Driving Dunk Shot","2PT Field Goal",0,"Cleveland Cavaliers",4,9,,,,,
"Dwyane Wade","Miami Heat",2011-02-06,2010,1987,1610612748,310206014,2,6,22,1,"Driving Dunk Shot","2PT Field Goal",2,"Los Angeles Clippers",20,17,,,,,
"Dwyane Wade","Miami Heat",2011-04-01,2010,1987,1610612748,310401016,3,5,17,1,"Driving Dunk Shot","2PT Field Goal",0,"Minnesota Timberwolves",0,-5,,,,,
"Dwyane Wade","Miami Heat",2011-03-19,2010,1987,1610612748,310319014,1,9,01,1,"Driving Dunk Shot","2PT Field Goal",1,"Denver Nuggets",-15,3,,,,,
"Dwyane Wade","Miami Heat",2011-04-08,2010,1987,1610612748,310408014,1,8,46,1,"Driving Dunk Shot","2PT Field Goal",2,"Charlotte Hornets",-3,24,,,,,
"Dwyane Wade","Miami Heat",2011-03-25,2010,1987,1610612748,310325014,4,0,10,1,"Driving Dunk Shot","2PT Field Goal",1,"Philadelphia 76ers",9,7,,,,,
"Dwyane Wade","Miami Heat",2011-03-30,2010,1987,1610612748,310330027,1,10,00,1,"Driving Dunk Shot","2PT Field Goal",1,"Washington Wizards",13,-14,,,,,
"Dwyane Wade","Miami Heat",2011-01-15,2010,1987,1610612748,310115004,2,1,31,1,"Driving Dunk Shot","2PT Field Goal",1,"Chicago Bulls",-13,4,,,,,
