name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"LeBron James","Miami Heat",2011-04-08,2010,1966,1610612748,310408014,1,0,31,1,"Alley Oop Dunk Shot","2PT Field Goal",3,"Charlotte Hornets",-16,26,,,,,
"LeBron James","Miami Heat",2011-03-16,2010,1966,1610612748,310316014,1,11,44,1,"Alley Oop Dunk Shot","2PT Field Goal",3,"Oklahoma City Thunder",29,11,,,,,
"LeBron James","Miami Heat",2010-12-11,2010,1966,1610612748,301211023,1,11,40,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Sacramento Kings",12,7,,,,,
"LeBron James","Miami Heat",2010-12-17,2010,1966,1610612748,301217018,2,0,38,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"New York Knicks",18,15,,,,,
"LeBron James","Miami Heat",2011-03-19,2010,1966,1610612748,310319014,1,4,14,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"Denver Nuggets",-21,11,,,,,
"LeBron James","Miami Heat",2010-12-23,2010,1966,1610612748,301223021,1,10,12,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Phoenix Suns",1,3,,,,,
"LeBron James","Miami Heat",2011-02-27,2010,1966,1610612748,310227014,1,8,54,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"New York Knicks",18,14,,,,,
"LeBron James","Miami Heat",2010-12-10,2010,1966,1610612748,301210009,3,8,12,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Golden State Warriors",1,3,,,,,
"LeBron James","Miami Heat",2011-04-01,2010,1966,1610612748,310401016,2,6,10,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Minnesota Timberwolves",0,14,,,,,
"LeBron James","Miami Heat",2011-03-25,2010,1966,1610612748,310325014,3,6,49,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Philadelphia 76ers",12,3,,,,,
"LeBron James","Miami Heat",2010-11-06,2010,1966,1610612748,301106014,3,2,50,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Brooklyn Nets",-11,11,,,,,
"LeBron James","Miami Heat",2011-02-06,2010,1966,1610612748,310206014,1,2,04,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"Los Angeles Clippers",-11,24,,,,,
"LeBron James","Miami Heat",2010-12-08,2010,1966,1610612748,301208026,4,3,18,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"Utah Jazz",1,23,,,,,
"LeBron James","Miami Heat",2011-01-27,2010,1966,1610612748,310127018,1,5,00,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"New York Knicks",6,9,,,,,
"LeBron James","Miami Heat",2010-11-06,2010,1966,1610612748,301106014,1,1,24,0,"Alley Oop Dunk Shot","2PT Field Goal",2,"Brooklyn Nets",21,9,,,,,
"LeBron James","Miami Heat",2011-01-12,2010,1966,1610612748,310112012,3,5,42,1,"Alley Oop Dunk Shot","2PT Field Goal",4,"Los Angeles Clippers",29,28,,,,,
"LeBron James","Miami Heat",2011-01-27,2010,1966,1610612748,310127018,1,4,15,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"New York Knicks",18,7,,,,,
"LeBron James","Miami Heat",2010-11-29,2010,1966,1610612748,301129014,2,2,13,1,"Alley Oop Layup shot","2PT Field Goal",3,"Washington Wizards",29,17,,,,,
"LeBron James","Miami Heat",2011-04-03,2010,1966,1610612748,310403017,3,10,10,0,"Alley Oop Layup shot","2PT Field Goal",2,"Brooklyn Nets",-24,4,,,,,
"LeBron James","Miami Heat",2011-02-11,2010,1966,1610612748,310211008,3,9,51,0,"Alley Oop Layup shot","2PT Field Goal",1,"Detroit Pistons",19,3,,,,,
"LeBron James","Miami Heat",2010-12-15,2010,1966,1610612748,301215014,1,2,25,0,"Alley Oop Layup shot","2PT Field Goal",1,"Cleveland Cavaliers",1,11,,,,,
"LeBron James","Miami Heat",2010-10-31,2010,1966,1610612748,301031017,1,10,58,1,"Alley Oop Layup shot","2PT Field Goal",2,"Brooklyn Nets",23,3,,,,,
"LeBron James","Miami Heat",2011-01-07,2010,1966,1610612748,310107015,1,6,16,1,"Alley Oop Layup shot","2PT Field Goal",1,"Milwaukee Bucks",-10,11,,,,,
"LeBron James","Miami Heat",2011-04-11,2010,1966,1610612748,310411001,1,9,59,0,"Alley Oop Layup shot","2PT Field Goal",2,"Atlanta Hawks",21,-2,,,,,
"LeBron James","Miami Heat",2011-04-11,2010,1966,1610612748,310411001,2,1,11,1,"Alley Oop Layup shot","2PT Field Goal",0,"Atlanta Hawks",-5,3,,,,,
"LeBron James","Miami Heat",2011-04-03,2010,1966,1610612748,310403017,1,9,50,1,"Alley Oop Layup shot","2PT Field Goal",1,"Brooklyn Nets",7,14,,,,,
