name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Dirk Nowitzki","Dallas Mavericks",2012-02-04,2011,609,1610612742,320204005,2,9,27,1,"Alley Oop Layup shot","2PT Field Goal",1,"Cleveland Cavaliers",15,-2,,,,,
"Dirk Nowitzki","Dallas Mavericks",2012-02-03,2011,609,1610612742,320203006,4,2,26,1,"Driving Bank shot","2PT Field Goal",6,"Indiana Pacers",20,64,,,,,
"Dirk Nowitzki","Dallas Mavericks",2012-02-22,2011,609,1610612742,320222006,3,10,05,1,"Driving Bank shot","2PT Field Goal",8,"Los Angeles Lakers",-54,69,,,,,
"Dirk Nowitzki","Dallas Mavericks",2011-12-25,2011,609,1610612742,311225006,2,2,56,1,"Driving Bank shot","2PT Field Goal",5,"Miami Heat",50,26,,,,,
"Dirk Nowitzki","Dallas Mavericks",2011-12-25,2011,609,1610612742,311225006,3,11,21,1,"Driving Bank shot","2PT Field Goal",3,"Miami Heat",-37,12,,,,,
"Dirk Nowitzki","Dallas Mavericks",2012-01-16,2011,609,1610612742,320116013,3,8,51,1,"Driving Dunk Shot","2PT Field Goal",1,"Los Angeles Lakers",1,16,,,,,
"Dirk Nowitzki","Dallas Mavericks",2012-04-04,2011,609,1610612742,320404006,2,0,10,1,"Driving Finger Roll Layup Shot","2PT Field Goal",2,"Memphis Grizzlies",13,22,,,,,
"Dirk Nowitzki","Dallas Mavericks",2012-02-20,2011,609,1610612742,320220006,2,4,05,0,"Driving Finger Roll Layup Shot","2PT Field Goal",2,"Boston Celtics",1,22,,,,,
"Dirk Nowitzki","Dallas Mavericks",2012-04-12,2011,609,1610612742,320412009,4,8,40,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Golden State Warriors",10,15,,,,,
"Dirk Nowitzki","Dallas Mavericks",2011-12-26,2011,609,1610612742,311226006,3,4,19,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Denver Nuggets",7,11,,,,,
"Dirk Nowitzki","Dallas Mavericks",2012-02-13,2011,609,1610612742,320213006,4,4,03,0,"Driving Hook Shot","2PT Field Goal",6,"Los Angeles Clippers",67,17,,,,,
"Dirk Nowitzki","Dallas Mavericks",2012-03-23,2011,609,1610612742,320323024,2,0,01,0,"Driving Jump shot","2PT Field Goal",3,"San Antonio Spurs",-32,15,,,,,
"Dirk Nowitzki","Dallas Mavericks",2012-04-20,2011,609,1610612742,320420006,3,9,56,0,"Driving Jump shot","2PT Field Goal",9,"Golden State Warriors",-90,12,,,,,
"Dirk Nowitzki","Dallas Mavericks",2012-04-02,2011,609,1610612742,320402006,4,8,01,0,"Driving Jump shot","2PT Field Goal",3,"Los Angeles Clippers",-29,22,,,,,
"Dirk Nowitzki","Dallas Mavericks",2012-04-20,2011,609,1610612742,320420006,4,3,31,0,"Driving Jump shot","2PT Field Goal",7,"Golden State Warriors",-75,17,,,,,
"Dirk Nowitzki","Dallas Mavericks",2012-04-18,2011,609,1610612742,320418006,2,0,03,0,"Driving Jump shot","2PT Field Goal",3,"Houston Rockets",-34,15,,,,,
"Dirk Nowitzki","Dallas Mavericks",2012-02-28,2011,609,1610612742,320228006,4,5,10,0,"Driving Jump shot","2PT Field Goal",9,"Brooklyn Nets",-87,41,,,,,
"Dirk Nowitzki","Dallas Mavericks",2012-03-30,2011,609,1610612742,320330019,1,10,19,0,"Driving Layup Shot","2PT Field Goal",1,"Orlando Magic",-7,11,,,,,
"Dirk Nowitzki","Dallas Mavericks",2012-01-16,2011,609,1610612742,320116013,3,10,26,1,"Driving Layup Shot","2PT Field Goal",2,"Los Angeles Lakers",2,22,,,,,
"Dirk Nowitzki","Dallas Mavericks",2012-04-06,2011,609,1610612742,320406006,1,10,00,1,"Driving Layup Shot","2PT Field Goal",0,"Portland Trail Blazers",-2,4,,,,,
"Dirk Nowitzki","Dallas Mavericks",2012-04-04,2011,609,1610612742,320404006,4,3,56,1,"Driving Layup Shot","2PT Field Goal",1,"Memphis Grizzlies",-8,9,,,,,
"Dirk Nowitzki","Dallas Mavericks",2011-12-30,2011,609,1610612742,311230006,1,4,44,0,"Driving Layup Shot","2PT Field Goal",2,"Toronto Raptors",23,15,,,,,
"Dirk Nowitzki","Dallas Mavericks",2012-01-01,2011,609,1610612742,320101016,3,5,09,1,"Driving Layup Shot","2PT Field Goal",1,"Minnesota Timberwolves",13,-8,,,,,
"Dirk Nowitzki","Dallas Mavericks",2012-03-19,2011,609,1610612742,320319007,2,8,05,1,"Driving Layup Shot","2PT Field Goal",0,"Denver Nuggets",-4,9,,,,,
"Dirk Nowitzki","Dallas Mavericks",2012-04-16,2011,609,1610612742,320416026,2,4,39,0,"Driving Layup Shot","2PT Field Goal",2,"Utah Jazz",-26,11,,,,,
"Dirk Nowitzki","Dallas Mavericks",2012-01-14,2011,609,1610612742,320114006,2,4,38,1,"Driving Layup Shot","2PT Field Goal",2,"Sacramento Kings",20,11,,,,,
"Dirk Nowitzki","Dallas Mavericks",2012-03-17,2011,609,1610612742,320317006,2,2,56,0,"Driving Layup Shot","2PT Field Goal",0,"San Antonio Spurs",-7,0,,,,,
"Dirk Nowitzki","Dallas Mavericks",2012-02-20,2011,609,1610612742,320220006,2,1,31,0,"Driving Layup Shot","2PT Field Goal",1,"Boston Celtics",13,-11,,,,,
"Dirk Nowitzki","Dallas Mavericks",2012-01-02,2011,609,1610612742,320102006,3,5,32,1,"Driving Layup Shot","2PT Field Goal",3,"Oklahoma City Thunder",-4,31,,,,,
