name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"LeBron James","Miami Heat",2012-01-11,2011,1966,1610612748,320111012,1,1,09,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"Los Angeles Clippers",9,25,,,,,
"LeBron James","Miami Heat",2012-01-30,2011,1966,1610612748,320130014,1,8,18,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New Orleans Pelicans",9,3,,,,,
"LeBron James","Miami Heat",2012-02-10,2011,1966,1610612748,320210027,2,1,56,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Washington Wizards",-7,-6,,,,,
"LeBron James","Miami Heat",2012-01-10,2011,1966,1610612748,320110009,2,5,20,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Golden State Warriors",0,4,,,,,
"LeBron James","Miami Heat",2012-02-23,2011,1966,1610612748,320223014,1,11,34,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New York Knicks",-5,1,,,,,
"LeBron James","Miami Heat",2012-02-21,2011,1966,1610612748,320221014,3,9,54,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Sacramento Kings",9,1,,,,,
"LeBron James","Miami Heat",2012-01-27,2011,1966,1610612748,320127014,2,3,36,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"New York Knicks",7,17,,,,,
"LeBron James","Miami Heat",2012-04-15,2011,1966,1610612748,320415018,1,9,23,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"New York Knicks",9,9,,,,,
"LeBron James","Miami Heat",2012-01-25,2011,1966,1610612748,320125008,1,4,35,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Detroit Pistons",-2,0,,,,,
"LeBron James","Miami Heat",2012-02-17,2011,1966,1610612748,320217005,1,4,20,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Cleveland Cavaliers",2,1,,,,,
"LeBron James","Miami Heat",2012-02-17,2011,1966,1610612748,320217005,1,8,31,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Cleveland Cavaliers",12,1,,,,,
"LeBron James","Miami Heat",2012-04-01,2011,1966,1610612748,320401002,2,2,13,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Boston Celtics",2,15,,,,,
"LeBron James","Miami Heat",2011-12-30,2011,1966,1610612748,311230016,3,2,27,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Minnesota Timberwolves",-8,0,,,,,
"LeBron James","Miami Heat",2012-04-18,2011,1966,1610612748,320418014,2,3,36,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Toronto Raptors",2,7,,,,,
"LeBron James","Miami Heat",2012-02-14,2011,1966,1610612748,320214011,2,4,32,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Indiana Pacers",-5,14,,,,,
"LeBron James","Miami Heat",2012-01-02,2011,1966,1610612748,320102014,3,5,17,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Atlanta Hawks",0,7,,,,,
"LeBron James","Miami Heat",2012-01-10,2011,1966,1610612748,320110009,1,10,56,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Golden State Warriors",1,1,,,,,
"LeBron James","Miami Heat",2011-12-30,2011,1966,1610612748,311230016,3,4,19,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Minnesota Timberwolves",-16,-11,,,,,
"LeBron James","Miami Heat",2012-03-20,2011,1966,1610612748,320320014,1,8,22,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Phoenix Suns",-13,7,,,,,
"LeBron James","Miami Heat",2012-03-30,2011,1966,1610612748,320330028,3,11,25,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Toronto Raptors",4,6,,,,,
"LeBron James","Miami Heat",2012-02-01,2011,1966,1610612748,320201015,3,4,38,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Milwaukee Bucks",4,12,,,,,
"LeBron James","Miami Heat",2012-01-25,2011,1966,1610612748,320125008,4,8,58,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Detroit Pistons",0,3,,,,,
"LeBron James","Miami Heat",2012-03-29,2011,1966,1610612748,320329014,4,3,06,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Dallas Mavericks",-4,14,,,,,
"LeBron James","Miami Heat",2012-03-04,2011,1966,1610612748,320304013,1,10,25,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Los Angeles Lakers",-10,11,,,,,
"LeBron James","Miami Heat",2012-01-29,2011,1966,1610612748,320129014,1,5,42,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Chicago Bulls",1,0,,,,,
"LeBron James","Miami Heat",2012-01-29,2011,1966,1610612748,320129014,1,5,01,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Chicago Bulls",2,7,,,,,
"LeBron James","Miami Heat",2012-04-10,2011,1966,1610612748,320410014,1,4,49,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Boston Celtics",-2,6,,,,,
"LeBron James","Miami Heat",2012-04-06,2011,1966,1610612748,320406014,1,6,36,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Memphis Grizzlies",-3,8,,,,,
"LeBron James","Miami Heat",2012-01-02,2011,1966,1610612748,320102014,1,3,33,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"Atlanta Hawks",-23,0,,,,,
"LeBron James","Miami Heat",2012-01-27,2011,1966,1610612748,320127014,1,9,30,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New York Knicks",-5,7,,,,,
"LeBron James","Miami Heat",2012-04-13,2011,1966,1610612748,320413014,2,0,30,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Charlotte Hornets",-4,-1,,,,,
"LeBron James","Miami Heat",2012-04-03,2011,1966,1610612748,320403014,4,1,27,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Philadelphia 76ers",1,14,,,,,
"LeBron James","Miami Heat",2011-12-30,2011,1966,1610612748,311230016,1,11,04,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Minnesota Timberwolves",-4,0,,,,,
"LeBron James","Miami Heat",2012-04-13,2011,1966,1610612748,320413014,1,0,56,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Charlotte Hornets",2,9,,,,,
"LeBron James","Miami Heat",2012-03-01,2011,1966,1610612748,320301022,1,4,21,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Portland Trail Blazers",0,14,,,,,
"LeBron James","Miami Heat",2012-02-05,2011,1966,1610612748,320205014,3,1,07,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Toronto Raptors",-2,11,,,,,
"LeBron James","Miami Heat",2011-12-27,2011,1966,1610612748,311227014,3,6,37,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Boston Celtics",-2,11,,,,,
"LeBron James","Miami Heat",2012-02-10,2011,1966,1610612748,320210027,2,3,33,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Washington Wizards",-2,-10,,,,,
"LeBron James","Miami Heat",2012-01-04,2011,1966,1610612748,320104014,4,8,48,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Indiana Pacers",4,0,,,,,
"LeBron James","Miami Heat",2012-03-01,2011,1966,1610612748,320301022,3,7,29,1,"Alley Oop Layup shot","2PT Field Goal",1,"Portland Trail Blazers",1,-14,,,,,
"LeBron James","Miami Heat",2012-03-01,2011,1966,1610612748,320301022,1,6,11,1,"Alley Oop Layup shot","2PT Field Goal",0,"Portland Trail Blazers",9,3,,,,,
"LeBron James","Miami Heat",2012-04-01,2011,1966,1610612748,320401002,1,4,41,0,"Alley Oop Layup shot","2PT Field Goal",1,"Boston Celtics",11,9,,,,,
"LeBron James","Miami Heat",2012-01-07,2011,1966,1610612748,320107017,1,2,11,1,"Alley Oop Layup shot","2PT Field Goal",2,"Brooklyn Nets",17,12,,,,,
"LeBron James","Miami Heat",2012-01-21,2011,1966,1610612748,320121014,3,3,54,1,"Alley Oop Layup shot","2PT Field Goal",1,"Philadelphia 76ers",-19,6,,,,,
"LeBron James","Miami Heat",2012-02-17,2011,1966,1610612748,320217005,3,11,20,1,"Alley Oop Layup shot","2PT Field Goal",1,"Cleveland Cavaliers",1,-11,,,,,
"LeBron James","Miami Heat",2012-02-01,2011,1966,1610612748,320201015,1,4,23,1,"Alley Oop Layup shot","2PT Field Goal",0,"Milwaukee Bucks",0,6,,,,,
"LeBron James","Miami Heat",2011-12-25,2011,1966,1610612748,311225006,1,0,01,0,"Driving Bank shot","2PT Field Goal",3,"Dallas Mavericks",36,4,,,,,
"LeBron James","Miami Heat",2012-01-01,2011,1966,1610612748,320101014,3,1,38,1,"Driving Dunk Shot","2PT Field Goal",1,"Charlotte Hornets",-8,7,,,,,
"LeBron James","Miami Heat",2012-01-27,2011,1966,1610612748,320127014,1,0,22,1,"Driving Dunk Shot","2PT Field Goal",0,"New York Knicks",-5,7,,,,,
"LeBron James","Miami Heat",2012-01-27,2011,1966,1610612748,320127014,1,10,15,1,"Driving Dunk Shot","2PT Field Goal",0,"New York Knicks",1,4,,,,,
"LeBron James","Miami Heat",2012-01-24,2011,1966,1610612748,320124014,3,6,21,1,"Driving Dunk Shot","2PT Field Goal",0,"Cleveland Cavaliers",9,0,,,,,
"LeBron James","Miami Heat",2011-12-27,2011,1966,1610612748,311227014,1,7,44,1,"Driving Dunk Shot","2PT Field Goal",1,"Boston Celtics",-9,11,,,,,
"LeBron James","Miami Heat",2012-01-29,2011,1966,1610612748,320129014,1,9,58,1,"Driving Dunk Shot","2PT Field Goal",0,"Chicago Bulls",-5,7,,,,,
"LeBron James","Miami Heat",2012-03-04,2011,1966,1610612748,320304013,1,7,39,1,"Driving Dunk Shot","2PT Field Goal",1,"Los Angeles Lakers",-8,14,,,,,
"LeBron James","Miami Heat",2012-03-04,2011,1966,1610612748,320304013,1,2,21,1,"Driving Dunk Shot","2PT Field Goal",1,"Los Angeles Lakers",0,19,,,,,
"LeBron James","Miami Heat",2012-04-01,2011,1966,1610612748,320401002,1,9,46,0,"Driving Dunk Shot","2PT Field Goal",0,"Boston Celtics",0,9,,,,,
"LeBron James","Miami Heat",2012-04-22,2011,1966,1610612748,320422014,4,0,57,1,"Driving Dunk Shot","2PT Field Goal",0,"Houston Rockets",0,9,,,,,
"LeBron James","Miami Heat",2012-01-19,2011,1966,1610612748,320119014,4,4,47,1,"Driving Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,9,,,,,
"LeBron James","Miami Heat",2012-02-23,2011,1966,1610612748,320223014,2,2,29,1,"Driving Dunk Shot","2PT Field Goal",0,"New York Knicks",0,4,,,,,
"LeBron James","Miami Heat",2012-02-21,2011,1966,1610612748,320221014,2,1,39,1,"Driving Dunk Shot","2PT Field Goal",0,"Sacramento Kings",1,-5,,,,,
"LeBron James","Miami Heat",2012-02-17,2011,1966,1610612748,320217005,3,5,14,1,"Driving Dunk Shot","2PT Field Goal",0,"Cleveland Cavaliers",6,-3,,,,,
"LeBron James","Miami Heat",2012-01-07,2011,1966,1610612748,320107017,4,1,14,1,"Driving Dunk Shot","2PT Field Goal",2,"Brooklyn Nets",18,12,,,,,
"LeBron James","Miami Heat",2012-03-20,2011,1966,1610612748,320320014,2,3,08,1,"Driving Dunk Shot","2PT Field Goal",1,"Phoenix Suns",0,11,,,,,
"LeBron James","Miami Heat",2012-04-22,2011,1966,1610612748,320422014,1,5,04,1,"Driving Dunk Shot","2PT Field Goal",1,"Houston Rockets",1,11,,,,,
"LeBron James","Miami Heat",2012-04-16,2011,1966,1610612748,320416017,3,4,42,0,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Brooklyn Nets",-13,3,,,,,
"LeBron James","Miami Heat",2012-01-13,2011,1966,1610612748,320113007,3,9,34,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Denver Nuggets",-13,11,,,,,
"LeBron James","Miami Heat",2012-01-07,2011,1966,1610612748,320107017,3,1,35,0,"Driving Finger Roll Layup Shot","2PT Field Goal",2,"Brooklyn Nets",-10,26,,,,,
"LeBron James","Miami Heat",2012-02-23,2011,1966,1610612748,320223014,2,4,24,0,"Driving Finger Roll Layup Shot","2PT Field Goal",0,"New York Knicks",-8,4,,,,,
"LeBron James","Miami Heat",2012-04-10,2011,1966,1610612748,320410014,3,0,21,1,"Driving Finger Roll Layup Shot","2PT Field Goal",0,"Boston Celtics",0,4,,,,,
"LeBron James","Miami Heat",2012-03-14,2011,1966,1610612748,320314004,2,0,43,1,"Driving Finger Roll Layup Shot","2PT Field Goal",2,"Chicago Bulls",21,14,,,,,
"LeBron James","Miami Heat",2012-04-03,2011,1966,1610612748,320403014,3,5,18,0,"Driving Finger Roll Layup Shot","2PT Field Goal",0,"Philadelphia 76ers",2,9,,,,,
"LeBron James","Miami Heat",2012-01-19,2011,1966,1610612748,320119014,4,5,56,0,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Los Angeles Lakers",-2,14,,,,,
"LeBron James","Miami Heat",2012-01-21,2011,1966,1610612748,320121014,1,0,34,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Philadelphia 76ers",12,6,,,,,
