name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Greg Monroe","Detroit Pistons",2013-02-09,2012,4260,1610612765,400278469,4,5,41,1,"Alley Oop Layup shot","2PT Field Goal",2,"Milwaukee Bucks",-23,9,,,,,
"Greg Monroe","Detroit Pistons",2012-12-28,2012,4260,1610612765,400278148,3,9,05,1,"Alley Oop Layup shot","2PT Field Goal",0,"Miami Heat",9,-2,,,,,
"Greg Monroe","Detroit Pistons",2013-04-06,2012,4260,1610612765,400278861,1,0,43,1,"Alley Oop Layup shot","2PT Field Goal",1,"Minnesota Timberwolves",15,-3,,,,,
"Greg Monroe","Detroit Pistons",2013-01-27,2012,4260,1610612765,400278374,2,0,00,0,"Alley Oop Layup shot","2PT Field Goal",2,"Orlando Magic",10,23,,,,,
"Greg Monroe","Detroit Pistons",2013-04-01,2012,4260,1610612765,400278820,4,11,14,1,"Driving Bank shot","2PT Field Goal",6,"Toronto Raptors",-43,50,,,,,
"Greg Monroe","Detroit Pistons",2013-03-22,2012,4260,1610612765,400278746,1,2,05,1,"Driving Dunk Shot","2PT Field Goal",1,"Miami Heat",9,9,,,,,
"Greg Monroe","Detroit Pistons",2012-11-23,2012,4260,1610612765,400277895,1,10,51,1,"Driving Dunk Shot","2PT Field Goal",0,"Toronto Raptors",1,1,,,,,
"Greg Monroe","Detroit Pistons",2013-04-10,2012,4260,1610612765,400278887,3,10,39,1,"Driving Dunk Shot","2PT Field Goal",0,"Cleveland Cavaliers",1,1,,,,,
"Greg Monroe","Detroit Pistons",2013-01-12,2012,4260,1610612765,400278265,1,6,51,1,"Driving Dunk Shot","2PT Field Goal",0,"Utah Jazz",9,1,,,,,
"Greg Monroe","Detroit Pistons",2013-02-04,2012,4260,1610612765,400278430,3,3,49,1,"Driving Dunk Shot","2PT Field Goal",1,"New York Knicks",-10,6,,,,,
