name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"DeMar DeRozan","Toronto Raptors",2012-11-21,2012,3978,1610612761,400277877,1,6,36,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"Charlotte Hornets",-19,12,,,,,
"DeMar DeRozan","Toronto Raptors",2013-02-12,2012,3978,1610612761,400278489,1,4,26,0,"Alley Oop Dunk Shot","2PT Field Goal",1,"Denver Nuggets",4,11,,,,,
"DeMar DeRozan","Toronto Raptors",2013-03-31,2012,3978,1610612761,400278815,3,9,26,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Washington Wizards",-10,9,,,,,
"DeMar DeRozan","Toronto Raptors",2012-12-09,2012,3978,1610612761,400278012,2,3,12,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Los Angeles Clippers",-19,6,,,,,
"DeMar DeRozan","Toronto Raptors",2013-03-29,2012,3978,1610612761,400278797,3,3,49,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Detroit Pistons",7,6,,,,,
"DeMar DeRozan","Toronto Raptors",2012-10-31,2012,3978,1610612761,400277724,2,3,36,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Indiana Pacers",-7,-3,,,,,
"DeMar DeRozan","Toronto Raptors",2013-02-06,2012,3978,1610612761,400278440,2,6,09,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Boston Celtics",4,-2,,,,,
"DeMar DeRozan","Toronto Raptors",2013-03-06,2012,3978,1610612761,400278630,1,3,57,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Phoenix Suns",1,1,,,,,
"DeMar DeRozan","Toronto Raptors",2013-03-20,2012,3978,1610612761,400278728,1,5,57,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Charlotte Hornets",-4,6,,,,,
"DeMar DeRozan","Toronto Raptors",2012-11-12,2012,3978,1610612761,400277815,2,2,43,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Utah Jazz",-4,9,,,,,
"DeMar DeRozan","Toronto Raptors",2013-04-16,2012,3978,1610612761,400278933,1,6,18,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Atlanta Hawks",6,3,,,,,
"DeMar DeRozan","Toronto Raptors",2013-03-23,2012,3978,1610612761,400278754,1,9,29,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New York Knicks",0,6,,,,,
"DeMar DeRozan","Toronto Raptors",2012-11-18,2012,3978,1610612761,400277860,4,3,59,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Orlando Magic",13,9,,,,,
"DeMar DeRozan","Toronto Raptors",2012-11-20,2012,3978,1610612761,400277874,1,8,57,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Philadelphia 76ers",1,1,,,,,
"DeMar DeRozan","Toronto Raptors",2012-11-13,2012,3978,1610612761,400277825,1,3,34,1,"Alley Oop Layup shot","2PT Field Goal",1,"Indiana Pacers",13,12,,,,,
"DeMar DeRozan","Toronto Raptors",2012-12-21,2012,3978,1610612761,400278100,2,1,15,1,"Alley Oop Layup shot","2PT Field Goal",3,"Orlando Magic",-29,-10,,,,,
"DeMar DeRozan","Toronto Raptors",2013-01-15,2012,3978,1610612761,400278286,2,6,49,0,"Alley Oop Layup shot","2PT Field Goal",2,"Brooklyn Nets",-21,-3,,,,,
"DeMar DeRozan","Toronto Raptors",2013-03-08,2012,3978,1610612761,400278645,2,4,52,1,"Alley Oop Layup shot","2PT Field Goal",2,"Los Angeles Lakers",-27,3,,,,,
