name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Al Jefferson","Utah Jazz",2013-01-07,2012,2389,1610612762,400278228,1,6,06,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Dallas Mavericks",1,7,,,,,
"Al Jefferson","Utah Jazz",2012-12-30,2012,2389,1610612762,400278171,3,4,44,1,"Alley Oop Layup shot","2PT Field Goal",2,"Los Angeles Clippers",-18,11,,,,,
"Al Jefferson","Utah Jazz",2013-02-12,2012,2389,1610612762,400278492,1,5,54,1,"Alley Oop Layup shot","2PT Field Goal",2,"Oklahoma City Thunder",-2,25,,,,,
"Al Jefferson","Utah Jazz",2013-03-16,2012,2389,1610612762,400278703,1,0,24,1,"Alley Oop Layup shot","2PT Field Goal",2,"Memphis Grizzlies",-21,6,,,,,
"Al Jefferson","Utah Jazz",2012-12-01,2012,2389,1610612762,400277957,1,2,00,1,"Alley Oop Layup shot","2PT Field Goal",2,"Houston Rockets",26,12,,,,,
"Al Jefferson","Utah Jazz",2012-11-12,2012,2389,1610612762,400277815,1,4,45,1,"Driving Bank shot","2PT Field Goal",4,"Toronto Raptors",40,20,,,,,
"Al Jefferson","Utah Jazz",2012-11-12,2012,2389,1610612762,400277815,1,9,43,0,"Driving Hook Shot","2PT Field Goal",12,"Toronto Raptors",67,102,,,,,
"Al Jefferson","Utah Jazz",2012-11-12,2012,2389,1610612762,400277815,2,3,26,0,"Driving Hook Shot","2PT Field Goal",6,"Toronto Raptors",-29,63,,,,,
"Al Jefferson","Utah Jazz",2013-02-02,2012,2389,1610612762,400278423,3,0,41,1,"Driving Hook Shot","2PT Field Goal",2,"Portland Trail Blazers",-19,9,,,,,
"Al Jefferson","Utah Jazz",2013-01-11,2012,2389,1610612762,400278253,1,4,41,0,"Driving Jump shot","2PT Field Goal",4,"Atlanta Hawks",-10,39,,,,,
"Al Jefferson","Utah Jazz",2012-11-07,2012,2389,1610612762,400277782,1,6,08,1,"Driving Jump shot","2PT Field Goal",3,"Los Angeles Lakers",32,12,,,,,
"Al Jefferson","Utah Jazz",2012-11-26,2012,2389,1610612762,400277922,3,2,06,1,"Driving Layup Shot","2PT Field Goal",2,"Denver Nuggets",20,12,,,,,
"Al Jefferson","Utah Jazz",2013-02-13,2012,2389,1610612762,400278504,3,0,08,1,"Driving Layup Shot","2PT Field Goal",0,"Minnesota Timberwolves",-7,-5,,,,,
"Al Jefferson","Utah Jazz",2013-03-08,2012,2389,1610612762,400278642,3,8,35,1,"Driving Layup Shot","2PT Field Goal",2,"Chicago Bulls",-21,0,,,,,
"Al Jefferson","Utah Jazz",2013-02-13,2012,2389,1610612762,400278504,3,2,43,1,"Driving Layup Shot","2PT Field Goal",1,"Minnesota Timberwolves",-13,1,,,,,
"Al Jefferson","Utah Jazz",2013-03-13,2012,2389,1610612762,400278682,1,9,01,1,"Driving Layup Shot","2PT Field Goal",1,"Oklahoma City Thunder",-13,4,,,,,
"Al Jefferson","Utah Jazz",2013-01-26,2012,2389,1610612762,400278370,1,2,14,1,"Driving Layup Shot","2PT Field Goal",1,"Indiana Pacers",18,6,,,,,
"Al Jefferson","Utah Jazz",2012-12-15,2012,2389,1610612762,400278065,1,3,29,1,"Driving Layup Shot","2PT Field Goal",2,"Memphis Grizzlies",-26,7,,,,,
"Al Jefferson","Utah Jazz",2013-02-08,2012,2389,1610612762,400278466,1,1,32,1,"Driving Layup Shot","2PT Field Goal",1,"Chicago Bulls",6,19,,,,,
"Al Jefferson","Utah Jazz",2013-01-11,2012,2389,1610612762,400278253,3,5,10,1,"Driving Layup Shot","2PT Field Goal",0,"Atlanta Hawks",2,6,,,,,
"Al Jefferson","Utah Jazz",2013-04-17,2012,2389,1610612762,400278943,1,11,21,0,"Driving Layup Shot","2PT Field Goal",2,"Memphis Grizzlies",18,15,,,,,
"Al Jefferson","Utah Jazz",2013-03-20,2012,2389,1610612762,400278734,4,3,02,0,"Driving Layup Shot","2PT Field Goal",4,"Houston Rockets",26,32,,,,,
"Al Jefferson","Utah Jazz",2013-02-04,2012,2389,1610612762,400278434,5,4,10,1,"Driving Layup Shot","2PT Field Goal",1,"Sacramento Kings",2,19,,,,,
"Al Jefferson","Utah Jazz",2013-04-15,2012,2389,1610612762,400278930,2,4,23,1,"Driving Layup Shot","2PT Field Goal",0,"Minnesota Timberwolves",0,7,,,,,
"Al Jefferson","Utah Jazz",2013-02-23,2012,2389,1610612762,400278549,3,8,07,1,"Driving Layup Shot","2PT Field Goal",1,"Los Angeles Clippers",17,-6,,,,,
"Al Jefferson","Utah Jazz",2013-04-07,2012,2389,1610612762,400278871,3,2,47,1,"Driving Layup Shot","2PT Field Goal",1,"Golden State Warriors",0,19,,,,,
"Al Jefferson","Utah Jazz",2013-02-25,2012,2389,1610612762,400278562,3,9,25,1,"Driving Slam Dunk Shot","2PT Field Goal",0,"Boston Celtics",4,3,,,,,
"Al Jefferson","Utah Jazz",2013-01-09,2012,2389,1610612762,400278237,1,1,30,1,"Dunk Shot","2PT Field Goal",1,"Charlotte Hornets",-10,3,,,,,
"Al Jefferson","Utah Jazz",2013-03-22,2012,2389,1610612762,400278750,3,7,24,1,"Dunk Shot","2PT Field Goal",2,"San Antonio Spurs",29,3,,,,,
"Al Jefferson","Utah Jazz",2013-01-12,2012,2389,1610612762,400278265,4,10,40,1,"Dunk Shot","2PT Field Goal",0,"Detroit Pistons",6,0,,,,,
"Al Jefferson","Utah Jazz",2012-11-07,2012,2389,1610612762,400277782,4,3,06,1,"Dunk Shot","2PT Field Goal",1,"Los Angeles Lakers",-4,14,,,,,
"Al Jefferson","Utah Jazz",2013-01-07,2012,2389,1610612762,400278228,3,10,01,1,"Dunk Shot","2PT Field Goal",0,"Dallas Mavericks",2,4,,,,,
"Al Jefferson","Utah Jazz",2013-02-23,2012,2389,1610612762,400278549,1,9,13,0,"Dunk Shot","2PT Field Goal",1,"Los Angeles Clippers",9,6,,,,,
"Al Jefferson","Utah Jazz",2013-03-20,2012,2389,1610612762,400278734,4,3,36,1,"Dunk Shot","2PT Field Goal",0,"Houston Rockets",0,-5,,,,,
"Al Jefferson","Utah Jazz",2012-11-09,2012,2389,1610612762,400277799,3,6,39,0,"Dunk Shot","2PT Field Goal",1,"Denver Nuggets",9,-8,,,,,
"Al Jefferson","Utah Jazz",2013-01-11,2012,2389,1610612762,400278253,4,5,00,1,"Dunk Shot","2PT Field Goal",0,"Atlanta Hawks",2,1,,,,,
"Al Jefferson","Utah Jazz",2013-04-09,2012,2389,1610612762,400278881,3,1,06,1,"Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",4,1,,,,,
"Al Jefferson","Utah Jazz",2013-04-09,2012,2389,1610612762,400278881,1,2,00,0,"Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",-3,0,,,,,
"Al Jefferson","Utah Jazz",2012-12-18,2012,2389,1610612762,400278078,4,6,25,0,"Dunk Shot","2PT Field Goal",0,"Brooklyn Nets",-8,0,,,,,
"Al Jefferson","Utah Jazz",2013-04-09,2012,2389,1610612762,400278881,1,6,27,1,"Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",4,6,,,,,
"Al Jefferson","Utah Jazz",2013-03-30,2012,2389,1610612762,400278811,1,4,48,1,"Dunk Shot","2PT Field Goal",0,"Brooklyn Nets",-2,4,,,,,
"Al Jefferson","Utah Jazz",2013-03-30,2012,2389,1610612762,400278811,1,8,03,1,"Dunk Shot","2PT Field Goal",0,"Brooklyn Nets",0,1,,,,,
"Al Jefferson","Utah Jazz",2013-03-29,2012,2389,1610612762,400278804,3,9,52,1,"Dunk Shot","2PT Field Goal",0,"Portland Trail Blazers",1,1,,,,,
"Al Jefferson","Utah Jazz",2012-11-26,2012,2389,1610612762,400277922,2,0,33,0,"Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,6,,,,,
"Al Jefferson","Utah Jazz",2013-04-01,2012,2389,1610612762,400278826,1,9,22,0,"Dunk Shot","2PT Field Goal",1,"Portland Trail Blazers",0,15,,,,,
"Al Jefferson","Utah Jazz",2013-01-28,2012,2389,1610612762,400278385,1,7,38,0,"Dunk Shot","2PT Field Goal",1,"Houston Rockets",-15,4,,,,,
"Al Jefferson","Utah Jazz",2013-04-03,2012,2389,1610612762,400278838,3,0,17,1,"Dunk Shot","2PT Field Goal",1,"Denver Nuggets",-5,19,,,,,
"Al Jefferson","Utah Jazz",2013-01-11,2012,2389,1610612762,400278253,1,8,49,1,"Dunk Shot","2PT Field Goal",0,"Atlanta Hawks",6,-3,,,,,
"Al Jefferson","Utah Jazz",2012-12-26,2012,2389,1610612762,400278140,3,11,16,1,"Dunk Shot","2PT Field Goal",0,"Golden State Warriors",6,6,,,,,
"Al Jefferson","Utah Jazz",2013-01-14,2012,2389,1610612762,400278281,1,9,36,1,"Dunk Shot","2PT Field Goal",0,"Miami Heat",4,6,,,,,
"Al Jefferson","Utah Jazz",2012-12-05,2012,2389,1610612762,400277985,1,7,30,1,"Dunk Shot","2PT Field Goal",0,"Orlando Magic",6,0,,,,,
"Al Jefferson","Utah Jazz",2013-03-08,2012,2389,1610612762,400278642,1,11,18,1,"Dunk Shot","2PT Field Goal",2,"Chicago Bulls",-23,-13,,,,,
"Al Jefferson","Utah Jazz",2013-01-12,2012,2389,1610612762,400278265,1,10,43,1,"Dunk Shot","2PT Field Goal",0,"Detroit Pistons",0,6,,,,,
"Al Jefferson","Utah Jazz",2013-01-12,2012,2389,1610612762,400278265,4,11,29,1,"Dunk Shot","2PT Field Goal",0,"Detroit Pistons",4,0,,,,,
"Al Jefferson","Utah Jazz",2012-11-12,2012,2389,1610612762,400277815,1,7,39,1,"Dunk Shot","2PT Field Goal",1,"Toronto Raptors",-7,12,,,,,
"Al Jefferson","Utah Jazz",2012-12-03,2012,2389,1610612762,400277969,1,5,44,1,"Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",0,6,,,,,
"Al Jefferson","Utah Jazz",2013-02-27,2012,2389,1610612762,400278579,1,2,52,1,"Dunk Shot","2PT Field Goal",1,"Atlanta Hawks",-5,11,,,,,
"Al Jefferson","Utah Jazz",2013-01-11,2012,2389,1610612762,400278253,2,2,44,1,"Dunk Shot","2PT Field Goal",1,"Atlanta Hawks",10,3,,,,,
"Al Jefferson","Utah Jazz",2013-03-29,2012,2389,1610612762,400278804,1,2,19,1,"Dunk Shot","2PT Field Goal",0,"Portland Trail Blazers",0,3,,,,,
"Al Jefferson","Utah Jazz",2013-01-04,2012,2389,1610612762,400278207,1,6,08,1,"Dunk Shot","2PT Field Goal",0,"Phoenix Suns",-4,0,,,,,
"Al Jefferson","Utah Jazz",2013-04-17,2012,2389,1610612762,400278943,2,3,47,1,"Dunk Shot","2PT Field Goal",0,"Memphis Grizzlies",0,3,,,,,
"Al Jefferson","Utah Jazz",2013-01-05,2012,2389,1610612762,400278217,3,11,01,0,"Fadeaway Jump Shot","2PT Field Goal",15,"Denver Nuggets",-150,7,,,,,
"Al Jefferson","Utah Jazz",2012-11-17,2012,2389,1610612762,400277853,3,11,37,1,"Fadeaway Jump Shot","2PT Field Goal",13,"Washington Wizards",-131,-27,,,,,
"Al Jefferson","Utah Jazz",2013-03-30,2012,2389,1610612762,400278811,4,1,07,0,"Fadeaway Jump Shot","2PT Field Goal",16,"Brooklyn Nets",-163,-2,,,,,
"Al Jefferson","Utah Jazz",2013-03-30,2012,2389,1610612762,400278811,3,2,09,1,"Fadeaway Jump Shot","2PT Field Goal",12,"Brooklyn Nets",-106,66,,,,,
"Al Jefferson","Utah Jazz",2013-02-01,2012,2389,1610612762,400278413,1,8,52,1,"Fadeaway Jump Shot","2PT Field Goal",12,"Portland Trail Blazers",-4,121,,,,,
"Al Jefferson","Utah Jazz",2013-02-04,2012,2389,1610612762,400278434,4,5,01,0,"Fadeaway Jump Shot","2PT Field Goal",8,"Sacramento Kings",-84,14,,,,,
"Al Jefferson","Utah Jazz",2013-02-25,2012,2389,1610612762,400278562,1,2,30,1,"Finger Roll Layup Shot","2PT Field Goal",3,"Boston Celtics",-5,33,,,,,
"Al Jefferson","Utah Jazz",2012-11-28,2012,2389,1610612762,400277937,1,7,38,1,"Finger Roll Layup Shot","2PT Field Goal",2,"New Orleans Pelicans",-7,23,,,,,
