name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Eric Bledsoe","Phoenix Suns",2014-11-12,2014,4238,1610612756,400578408,3,3,18,1,"Alley Oop Layup shot","2PT Field Goal",2,"Brooklyn Nets",18,9,5,5.80,"Teletovic, Mirza",2.50,3.80
"Eric Bledsoe","Phoenix Suns",2015-02-26,2014,4238,1610612756,400579147,1,6,10,0,"Alley Oop Layup shot","2PT Field Goal",0,"Oklahoma City Thunder",-8,4,0,0.00,"Roberson, Andre",5.10,21.20
"Eric Bledsoe","Phoenix Suns",2015-04-14,2014,4238,1610612756,400579508,2,1,48,0,"Driving Bank shot","2PT Field Goal",5,"Los Angeles Clippers",53,7,2,3.80,"Paul, Chris",3.10,8.10
"Eric Bledsoe","Phoenix Suns",2014-12-05,2014,4238,1610612756,400578576,1,4,31,0,"Driving Bank shot","2PT Field Goal",12,"Dallas Mavericks",72,97,2,2.00,"Harris, Devin",2.40,6.20
"Eric Bledsoe","Phoenix Suns",2014-12-28,2014,4238,1610612756,400578750,3,9,53,1,"Driving Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,3,3.20,"Price, Ronnie",8.70,20.20
"Eric Bledsoe","Phoenix Suns",2014-12-20,2014,4238,1610612756,400578685,1,6,10,1,"Driving Dunk Shot","2PT Field Goal",0,"New York Knicks",0,1,3,3.30,"Calderon, Jose",10.80,20.50
"Eric Bledsoe","Phoenix Suns",2014-11-24,2014,4238,1610612756,400578493,2,6,28,0,"Driving Dunk Shot","2PT Field Goal",0,"Toronto Raptors",0,1,9,8.90,"Vasquez, Greivis",1.80,15.30
"Eric Bledsoe","Phoenix Suns",2015-01-07,2014,4238,1610612756,400578823,1,7,11,1,"Driving Dunk Shot","2PT Field Goal",0,"Minnesota Timberwolves",0,1,3,3.80,"Williams, Mo",4.60,22.40
"Eric Bledsoe","Phoenix Suns",2015-03-15,2014,4238,1610612756,400579280,2,0,08,1,"Driving Dunk Shot","2PT Field Goal",0,"New York Knicks",0,1,14,14.40,"Aldrich, Cole",2.50,4.00
"Eric Bledsoe","Phoenix Suns",2014-11-09,2014,4238,1610612756,400578387,3,5,52,1,"Driving Dunk Shot","2PT Field Goal",0,"Golden State Warriors",0,1,2,4.30,"Ezeli, Festus",3.70,15.50
"Eric Bledsoe","Phoenix Suns",2015-03-27,2014,4238,1610612756,400579378,3,4,41,1,"Driving Dunk Shot","2PT Field Goal",0,"Portland Trail Blazers",0,1,3,3.00,"Batum, Nicolas",5.20,20.90
"Eric Bledsoe","Phoenix Suns",2014-12-06,2014,4238,1610612756,400578582,4,0,08,1,"Driving Dunk Shot","2PT Field Goal",0,"Houston Rockets",0,1,5,3.50,"Ariza, Trevor",5.80,0.00
"Eric Bledsoe","Phoenix Suns",2014-12-06,2014,4238,1610612756,400578582,2,1,37,1,"Driving Dunk Shot","2PT Field Goal",0,"Houston Rockets",0,1,2,3.20,"Terry, Jason",10.20,22.00
"Eric Bledsoe","Phoenix Suns",2015-01-31,2014,4238,1610612756,400579007,2,4,57,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Golden State Warriors",4,15,1,2.70,"Curry, Stephen",27.90,23.00
"Eric Bledsoe","Phoenix Suns",2014-12-20,2014,4238,1610612756,400578685,4,0,23,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"New York Knicks",-13,12,19,15.60,"Anthony, Carmelo",3.70,8.50
"Eric Bledsoe","Phoenix Suns",2015-01-31,2014,4238,1610612756,400579007,3,2,43,1,"Driving Finger Roll Layup Shot","2PT Field Goal",2,"Golden State Warriors",-7,20,5,4.70,"Barnes, Harrison",1.00,3.90
