name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Dwyane Wade","Miami Heat",2014-11-09,2014,1987,1610612748,400578386,1,5,14,1,"Driving Bank shot","2PT Field Goal",9,"Dallas Mavericks",-84,41,2,4.30,"Ellis, Monta",3.80,18.00
"Dwyane Wade","Miami Heat",2015-01-23,2014,1987,1610612748,400578936,1,9,06,1,"Driving Bank shot","2PT Field Goal",9,"Indiana Pacers",-92,20,1,2.20,"Hibbert, Roy",3.80,15.50
"Dwyane Wade","Miami Heat",2014-12-27,2014,1987,1610612748,400578738,4,0,53,1,"Driving Bank shot","2PT Field Goal",8,"Memphis Grizzlies",89,4,2,3.00,"Allen, Tony",2.20,10.80
"Dwyane Wade","Miami Heat",2015-03-18,2014,1987,1610612748,400579299,4,6,15,1,"Driving Bank shot","2PT Field Goal",14,"Portland Trail Blazers",-119,77,7,6.40,"Afflalo, Arron",2.50,17.20
"Dwyane Wade","Miami Heat",2015-03-02,2014,1987,1610612748,400579179,1,9,20,0,"Driving Bank shot","2PT Field Goal",8,"Phoenix Suns",80,30,4,9.90,"Bledsoe, Eric",5.50,4.20
"Dwyane Wade","Miami Heat",2014-11-09,2014,1987,1610612748,400578386,4,6,02,1,"Driving Bank shot","2PT Field Goal",5,"Dallas Mavericks",39,33,0,1.00,"Ellis, Monta",1.90,21.00
"Dwyane Wade","Miami Heat",2015-04-11,2014,1987,1610612748,400579480,2,4,16,1,"Driving Bank shot","2PT Field Goal",5,"Toronto Raptors",-45,22,4,4.50,"Valanciunas, Jonas",2.10,13.70
"Dwyane Wade","Miami Heat",2015-03-04,2014,1987,1610612748,400579197,3,5,21,1,"Driving Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,7,5.20,"Hill, Jordan",5.20,11.80
"Dwyane Wade","Miami Heat",2014-11-08,2014,1987,1610612748,400578377,4,1,55,1,"Driving Dunk Shot","2PT Field Goal",0,"Minnesota Timberwolves",0,1,6,7.80,"Pekovic, Nikola",5.70,9.80
"Dwyane Wade","Miami Heat",2015-04-05,2014,1987,1610612748,400579441,2,6,53,1,"Driving Dunk Shot","2PT Field Goal",0,"Indiana Pacers",0,1,2,3.90,"Allen, Lavoy",2.40,12.20
"Dwyane Wade","Miami Heat",2015-02-25,2014,1987,1610612748,400579134,1,5,50,1,"Driving Dunk Shot","2PT Field Goal",0,"Orlando Magic",0,1,8,6.80,"Vucevic, Nikola",5.40,17.30
"Dwyane Wade","Miami Heat",2015-04-04,2014,1987,1610612748,400579431,3,3,22,1,"Driving Dunk Shot","2PT Field Goal",0,"Detroit Pistons",0,1,2,3.20,"Anthony, Joel",3.30,6.00
"Dwyane Wade","Miami Heat",2015-03-20,2014,1987,1610612748,400579316,2,3,33,1,"Driving Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,1,0,1.50,"Chandler, Wilson",4.60,21.00
"Dwyane Wade","Miami Heat",2015-03-02,2014,1987,1610612748,400579179,2,3,20,1,"Driving Dunk Shot","2PT Field Goal",0,"Phoenix Suns",0,1,4,3.80,"Morris, Marcus",3.20,21.50
"Dwyane Wade","Miami Heat",2015-01-11,2014,1987,1610612748,400578851,4,6,38,1,"Driving Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",0,1,0,0.60,"Redick, JJ",4.20,19.80
"Dwyane Wade","Miami Heat",2015-02-21,2014,1987,1610612748,400579109,4,0,54,1,"Driving Dunk Shot","2PT Field Goal",0,"New Orleans Pelicans",0,1,1,1.60,"Gordon, Eric",0.30,19.20
"Dwyane Wade","Miami Heat",2014-12-25,2014,1987,1610612748,400578721,3,5,14,0,"Driving Dunk Shot","2PT Field Goal",0,"Cleveland Cavaliers",0,1,0,0.00,,0.00,0.00
"Dwyane Wade","Miami Heat",2015-01-23,2014,1987,1610612748,400578936,4,6,56,0,"Driving Finger Roll Layup Shot","2PT Field Goal",2,"Indiana Pacers",13,17,0,0.70,"Sloan, Donald",2.80,19.80
"Dwyane Wade","Miami Heat",2015-03-18,2014,1987,1610612748,400579299,1,4,48,0,"Driving Finger Roll Layup Shot","2PT Field Goal",0,"Portland Trail Blazers",9,1,11,11.80,"Aldridge, LaMarcus",1.40,13.10
