name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Joe Johnson","Brooklyn Nets",2014-12-17,2014,1007,1610612751,400578666,1,1,03,1,"Driving Bank Hook Shot","2PT Field Goal",6,"Toronto Raptors",54,39,6,5.20,"Fields, Landry",1.70,12.10
"Joe Johnson","Brooklyn Nets",2014-12-17,2014,1007,1610612751,400578666,1,4,39,1,"Driving Bank shot","2PT Field Goal",4,"Toronto Raptors",45,6,9,8.30,"Valanciunas, Jonas",4.40,16.20
"Joe Johnson","Brooklyn Nets",2014-11-05,2014,1007,1610612751,400578352,4,4,44,1,"Driving Finger Roll Layup Shot","2PT Field Goal",2,"Minnesota Timberwolves",-27,7,1,1.50,"Wiggins, Andrew",0.90,14.10
"Joe Johnson","Brooklyn Nets",2015-02-02,2014,1007,1610612751,400579012,3,7,50,1,"Driving Finger Roll Layup Shot","2PT Field Goal",2,"Los Angeles Clippers",20,19,13,9.90,"Jordan, DeAndre",4.10,5.90
"Joe Johnson","Brooklyn Nets",2015-04-15,2014,1007,1610612751,400579516,2,0,34,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Orlando Magic",-18,1,3,4.00,"Harkless, Maurice",0.60,13.20
"Joe Johnson","Brooklyn Nets",2014-11-15,2014,1007,1610612751,400578430,3,5,30,1,"Driving Hook Shot","2PT Field Goal",4,"Portland Trail Blazers",-5,44,5,6.30,"Crabbe, Allen",4.40,7.30
"Joe Johnson","Brooklyn Nets",2015-01-28,2014,1007,1610612751,400578975,4,2,15,1,"Driving Jump shot","2PT Field Goal",3,"Atlanta Hawks",-21,33,3,3.30,"Horford, Al",2.30,8.60
"Joe Johnson","Brooklyn Nets",2014-12-02,2014,1007,1610612751,400578548,3,9,40,0,"Driving Jump shot","2PT Field Goal",4,"New York Knicks",-35,33,2,2.00,"Shumpert, Iman",2.30,9.00
"Joe Johnson","Brooklyn Nets",2015-04-13,2014,1007,1610612751,400579498,3,11,40,1,"Driving Jump shot","2PT Field Goal",7,"Chicago Bulls",18,77,8,7.10,"Butler, Jimmy",2.10,5.90
"Joe Johnson","Brooklyn Nets",2014-10-29,2014,1007,1610612751,400578298,1,7,56,0,"Driving Jump shot","2PT Field Goal",6,"Boston Celtics",9,61,3,2.90,"Olynyk, Kelly",3.20,9.70
"Joe Johnson","Brooklyn Nets",2014-12-05,2014,1007,1610612751,400578572,2,4,43,0,"Driving Jump shot","2PT Field Goal",5,"Atlanta Hawks",53,20,5,4.60,"Antic, Pero",3.00,14.00
"Joe Johnson","Brooklyn Nets",2015-01-04,2014,1007,1610612751,400578797,4,0,14,1,"Driving Jump shot","2PT Field Goal",5,"Miami Heat",37,39,7,5.60,"Granger, Danny",2.40,0.00
"Joe Johnson","Brooklyn Nets",2015-01-28,2014,1007,1610612751,400578975,2,3,19,0,"Driving Jump shot","2PT Field Goal",5,"Atlanta Hawks",31,45,4,4.70,"Antic, Pero",3.50,13.00
"Joe Johnson","Brooklyn Nets",2014-12-13,2014,1007,1610612751,400578633,1,11,22,1,"Driving Jump shot","2PT Field Goal",5,"Charlotte Hornets",-4,56,7,6.90,"Henderson, Gerald",3.00,24.00
