name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Goran Dragic","Phoenix Suns",2014-04-12,2013,3423,1610612756,400490068,2,7,48,1,"Driving Bank shot","2PT Field Goal",3,"Dallas Mavericks",-37,15,7,6.20,"Ellis, Monta",4.30,18.90
"Goran Dragic","Phoenix Suns",2014-03-26,2013,3423,1610612756,400489935,1,1,59,1,"Driving Bank shot","2PT Field Goal",3,"Washington Wizards",-30,23,3,5.80,"Gortat, Marcin",1.20,4.10
"Goran Dragic","Phoenix Suns",2013-12-30,2013,3423,1610612756,400489332,1,11,45,1,"Driving Dunk Shot","2PT Field Goal",1,"Los Angeles Clippers",6,9,1,1.40,"Griffin, Blake",4.60,21.00
"Goran Dragic","Phoenix Suns",2014-02-18,2013,3423,1610612756,400489672,5,0,56,1,"Driving Dunk Shot","2PT Field Goal",0,"Denver Nuggets",1,9,0,0.90,"Fournier, Evan",10.90,22.90
"Goran Dragic","Phoenix Suns",2013-11-25,2013,3423,1610612756,400489078,2,0,16,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Miami Heat",9,6,7,7.20,"Andersen, Chris",2.10,4.00
"Goran Dragic","Phoenix Suns",2013-11-25,2013,3423,1610612756,400489078,4,4,39,1,"Driving Finger Roll Layup Shot","2PT Field Goal",2,"Miami Heat",-13,17,11,11.50,"Beasley, Michael",5.40,11.90
"Goran Dragic","Phoenix Suns",2014-01-30,2013,3423,1610612756,400489559,2,6,12,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Indiana Pacers",7,14,4,4.00,"West, David",0.60,19.60
"Goran Dragic","Phoenix Suns",2014-02-05,2013,3423,1610612756,400489602,1,5,18,1,"Driving Finger Roll Layup Shot","2PT Field Goal",0,"Houston Rockets",-7,0,3,3.00,"Parsons, Chandler",2.60,18.90
"Goran Dragic","Phoenix Suns",2014-03-26,2013,3423,1610612756,400489935,1,2,38,1,"Driving Finger Roll Layup Shot","2PT Field Goal",2,"Washington Wizards",-5,25,5,5.80,"Gortat, Marcin",4.40,2.00
"Goran Dragic","Phoenix Suns",2014-03-09,2013,3423,1610612756,400489815,1,9,42,1,"Driving Finger Roll Layup Shot","2PT Field Goal",2,"Golden State Warriors",-15,14,7,7.00,"Bogut, Andrew",2.20,16.90
"Goran Dragic","Phoenix Suns",2014-03-24,2013,3423,1610612756,400489921,3,8,56,1,"Driving Jump shot","2PT Field Goal",3,"Atlanta Hawks",-34,20,13,12.30,"Millsap, Paul",3.60,11.50
"Goran Dragic","Phoenix Suns",2013-11-29,2013,3423,1610612756,400489112,1,8,10,1,"Driving Jump shot","2PT Field Goal",3,"Utah Jazz",-29,12,4,5.10,"Favors, Derrick",4.00,13.50
"Goran Dragic","Phoenix Suns",2014-03-02,2013,3423,1610612756,400489762,3,4,29,0,"Driving Jump shot","2PT Field Goal",3,"Atlanta Hawks",23,22,2,2.60,"Scott, Mike",1.80,9.70
"Goran Dragic","Phoenix Suns",2014-04-04,2013,3423,1610612756,400490013,2,11,16,0,"Driving Layup Shot","2PT Field Goal",1,"Portland Trail Blazers",-11,0,1,1.80,"Batum, Nicolas",2.20,21.00
"Goran Dragic","Phoenix Suns",2014-03-30,2013,3423,1610612756,400489973,1,9,18,1,"Driving Layup Shot","2PT Field Goal",1,"Los Angeles Lakers",-2,11,4,4.70,"Marshall, Kendall",3.20,12.30
"Goran Dragic","Phoenix Suns",2014-03-30,2013,3423,1610612756,400489973,1,3,48,1,"Driving Layup Shot","2PT Field Goal",2,"Los Angeles Lakers",-10,25,9,9.10,"Marshall, Kendall",2.60,14.60
"Goran Dragic","Phoenix Suns",2014-03-30,2013,3423,1610612756,400489973,1,3,29,1,"Driving Layup Shot","2PT Field Goal",1,"Los Angeles Lakers",-7,14,3,3.10,"Kaman, Chris",2.30,20.30
"Goran Dragic","Phoenix Suns",2014-02-08,2013,3423,1610612756,400489627,4,3,18,1,"Driving Layup Shot","2PT Field Goal",1,"Golden State Warriors",-18,7,12,9.20,"ONeal, Jermaine",1.30,9.90
"Goran Dragic","Phoenix Suns",2014-04-12,2013,3423,1610612756,400490068,1,5,37,0,"Driving Layup Shot","2PT Field Goal",2,"Dallas Mavericks",-24,4,13,11.50,"Dalembert, Samuel",3.30,12.60
"Goran Dragic","Phoenix Suns",2013-12-18,2013,3423,1610612756,400489251,4,0,12,1,"Driving Layup Shot","2PT Field Goal",1,"San Antonio Spurs",-13,-3,6,5.30,"Green, Danny",0.50,0.00
"Goran Dragic","Phoenix Suns",2014-04-06,2013,3423,1610612756,400490029,1,6,35,0,"Driving Layup Shot","2PT Field Goal",2,"Oklahoma City Thunder",-23,6,1,3.90,"Durant, Kevin",1.40,9.60
"Goran Dragic","Phoenix Suns",2014-02-05,2013,3423,1610612756,400489602,3,1,14,1,"Driving Layup Shot","2PT Field Goal",0,"Houston Rockets",1,3,5,3.90,"Jones, Terrence",0.80,14.00
"Goran Dragic","Phoenix Suns",2013-12-18,2013,3423,1610612756,400489251,2,4,13,1,"Driving Layup Shot","2PT Field Goal",1,"San Antonio Spurs",-10,0,8,7.40,"Duncan, Tim",1.90,17.40
"Goran Dragic","Phoenix Suns",2014-02-08,2013,3423,1610612756,400489627,1,8,37,1,"Driving Layup Shot","2PT Field Goal",1,"Golden State Warriors",10,-5,5,3.70,"Thompson, Klay",2.20,15.60
"Goran Dragic","Phoenix Suns",2014-02-08,2013,3423,1610612756,400489627,2,10,29,0,"Driving Layup Shot","2PT Field Goal",1,"Golden State Warriors",-11,0,8,6.00,"Speights, Marreese",2.00,18.80
