name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Stephen Curry","Golden State Warriors",2014-01-30,2013,3975,1610612744,400489561,1,1,29,1,"Driving Bank shot","2PT Field Goal",12,"Los Angeles Clippers",-95,82,8,6.20,"Collison, Darren",4.20,3.40
"Stephen Curry","Golden State Warriors",2013-12-11,2013,3975,1610612744,400489199,2,6,40,1,"Driving Bank shot","2PT Field Goal",8,"Dallas Mavericks",-2,83,2,2.50,"Dalembert, Samuel",2.00,9.30
"Stephen Curry","Golden State Warriors",2013-12-03,2013,3975,1610612744,400489141,1,5,33,1,"Driving Bank shot","2PT Field Goal",13,"Toronto Raptors",-111,85,0,0.00,"Gay, Rudy",4.20,7.50
"Stephen Curry","Golden State Warriors",2013-12-23,2013,3975,1610612744,400489288,3,6,13,0,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Denver Nuggets",-7,11,9,9.20,"Mozgov, Timofey",3.90,14.00
"Stephen Curry","Golden State Warriors",2013-11-16,2013,3975,1610612744,400489018,4,4,39,1,"Driving Finger Roll Layup Shot","2PT Field Goal",2,"Utah Jazz",-4,28,1,2.20,"Burks, Alec",4.30,10.30
"Stephen Curry","Golden State Warriors",2014-03-28,2013,3975,1610612744,400489959,3,5,37,1,"Driving Finger Roll Layup Shot","2PT Field Goal",2,"Memphis Grizzlies",20,11,3,3.00,"Prince, Tayshaun",3.10,20.30
"Stephen Curry","Golden State Warriors",2014-01-30,2013,3975,1610612744,400489561,1,2,14,1,"Driving Finger Roll Layup Shot","2PT Field Goal",2,"Los Angeles Clippers",12,19,2,2.10,"Collison, Darren",1.80,8.80
"Stephen Curry","Golden State Warriors",2014-01-17,2013,3975,1610612744,400489465,4,4,42,1,"Driving Finger Roll Layup Shot","2PT Field Goal",2,"Oklahoma City Thunder",-19,-8,4,6.30,"Sefolosha, Thabo",3.30,16.90
"Stephen Curry","Golden State Warriors",2014-01-02,2013,3975,1610612744,400489347,2,0,02,0,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Miami Heat",7,15,17,12.90,"James, LeBron",4.10,0.00
"Stephen Curry","Golden State Warriors",2014-01-28,2013,3975,1610612744,400489546,3,2,31,1,"Driving Finger Roll Layup Shot","2PT Field Goal",2,"Washington Wizards",15,20,5,5.10,"Booker, Trevor",1.80,17.70
"Stephen Curry","Golden State Warriors",2014-04-01,2013,3975,1610612744,400489985,4,9,21,1,"Driving Finger Roll Layup Shot","2PT Field Goal",0,"Dallas Mavericks",4,7,10,8.10,"Carter, Vince",2.40,16.00
"Stephen Curry","Golden State Warriors",2013-11-12,2013,3975,1610612744,400488982,3,5,13,1,"Driving Finger Roll Layup Shot","2PT Field Goal",3,"Detroit Pistons",-2,30,12,9.40,"Smith, Josh",1.50,12.40
"Stephen Curry","Golden State Warriors",2014-03-07,2013,3975,1610612744,400489800,2,0,04,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Atlanta Hawks",2,12,7,7.30,"Scott, Mike",4.70,0.00
"Stephen Curry","Golden State Warriors",2013-11-16,2013,3975,1610612744,400489018,1,4,48,1,"Driving Finger Roll Layup Shot","2PT Field Goal",2,"Utah Jazz",12,22,11,9.10,"Gobert, Rudy",2.70,14.30
"Stephen Curry","Golden State Warriors",2013-12-25,2013,3975,1610612744,400489295,2,0,53,1,"Driving Finger Roll Layup Shot","2PT Field Goal",2,"Los Angeles Clippers",-8,19,11,9.50,"Griffin, Blake",2.90,14.70
"Stephen Curry","Golden State Warriors",2013-12-27,2013,3975,1610612744,400489308,2,4,37,1,"Driving Finger Roll Layup Shot","2PT Field Goal",2,"Phoenix Suns",20,15,13,12.60,"Plumlee, Miles",4.50,10.50
"Stephen Curry","Golden State Warriors",2013-12-01,2013,3975,1610612744,400489124,4,1,39,1,"Driving Finger Roll Layup Shot","2PT Field Goal",3,"Sacramento Kings",4,36,0,0.00,,0.00,0.00
