name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Thaddeus Young","Philadelphia 76ers",2014-01-27,2013,3244,1610612755,400489535,2,5,10,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Phoenix Suns",4,-3,0,0.40,"Plumlee, Miles",5.30,24.00
"Thaddeus Young","Philadelphia 76ers",2014-02-01,2013,3244,1610612755,400489573,4,5,06,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Detroit Pistons",-11,0,0,0.00,"Bynum, Will",2.50,19.10
"Thaddeus Young","Philadelphia 76ers",2014-01-31,2013,3244,1610612755,400489563,3,8,07,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Atlanta Hawks",0,-2,1,0.80,"Ayon, Gustavo",4.40,24.00
"Thaddeus Young","Philadelphia 76ers",2014-01-29,2013,3244,1610612755,400489551,2,5,36,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Boston Celtics",2,-5,0,0.00,"Bass, Brandon",2.40,12.60
"Thaddeus Young","Philadelphia 76ers",2014-01-18,2013,3244,1610612755,400489469,3,8,21,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"Chicago Bulls",-23,-5,0,0.10,"Hinrich, Kirk",2.90,18.50
"Thaddeus Young","Philadelphia 76ers",2013-11-08,2013,3244,1610612755,400488949,2,4,12,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Cleveland Cavaliers",-4,0,1,0.80,"Varejao, Anderson",6.60,24.00
"Thaddeus Young","Philadelphia 76ers",2013-12-28,2013,3244,1610612755,400489318,4,1,29,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Phoenix Suns",0,4,0,0.20,"Morris, Marcus",4.30,18.70
"Thaddeus Young","Philadelphia 76ers",2014-02-26,2013,3244,1610612755,400489726,2,3,21,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Orlando Magic",-8,3,0,0.30,"Oladipo, Victor",7.50,24.00
"Thaddeus Young","Philadelphia 76ers",2013-12-07,2013,3244,1610612755,400489163,3,8,40,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,3,0,0.90,"Chandler, Wilson",3.90,19.90
"Thaddeus Young","Philadelphia 76ers",2014-01-31,2013,3244,1610612755,400489563,1,3,50,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Atlanta Hawks",-4,1,0,0.00,"Carroll, DeMarre",2.30,18.80
"Thaddeus Young","Philadelphia 76ers",2013-12-29,2013,3244,1610612755,400489325,1,5,55,1,"Alley Oop Layup shot","2PT Field Goal",2,"Los Angeles Lakers",-29,3,0,0.80,"Farmar, Jordan",1.20,14.90
"Thaddeus Young","Philadelphia 76ers",2013-12-16,2013,3244,1610612755,400489232,3,10,01,0,"Alley Oop Layup shot","2PT Field Goal",2,"Brooklyn Nets",-21,4,0,4.70,"Teletovic, Mirza",4.10,4.20
"Thaddeus Young","Philadelphia 76ers",2013-12-03,2013,3244,1610612755,400489134,2,6,10,1,"Alley Oop Layup shot","2PT Field Goal",1,"Orlando Magic",-16,-3,0,0.20,"Maxiell, Jason",3.20,18.90
"Thaddeus Young","Philadelphia 76ers",2013-12-07,2013,3244,1610612755,400489163,1,9,21,1,"Alley Oop Layup shot","2PT Field Goal",1,"Denver Nuggets",-10,14,0,0.00,"Faried, Kenneth",6.70,5.60
"Thaddeus Young","Philadelphia 76ers",2014-01-06,2013,3244,1610612755,400489378,1,6,40,1,"Alley Oop Layup shot","2PT Field Goal",1,"Minnesota Timberwolves",-13,7,0,0.80,"Love, Kevin",0.40,20.40
"Thaddeus Young","Philadelphia 76ers",2013-12-03,2013,3244,1610612755,400489134,4,0,33,1,"Driving Bank Hook Shot","2PT Field Goal",5,"Orlando Magic",-57,14,1,1.60,"Nicholson, Andrew",2.30,10.60
"Thaddeus Young","Philadelphia 76ers",2014-04-02,2013,3244,1610612755,400489990,1,9,02,1,"Driving Bank shot","2PT Field Goal",4,"Charlotte Hornets",45,1,3,2.30,"Zeller, Cody",2.30,10.80
"Thaddeus Young","Philadelphia 76ers",2014-03-29,2013,3244,1610612755,400489960,4,5,33,1,"Driving Dunk Shot","2PT Field Goal",0,"Detroit Pistons",2,4,2,2.20,"Jerebko, Jonas",5.70,11.90
"Thaddeus Young","Philadelphia 76ers",2013-11-27,2013,3244,1610612755,400489089,1,4,18,0,"Driving Dunk Shot","2PT Field Goal",2,"Orlando Magic",-7,19,1,2.40,"Vucevic, Nikola",2.10,0.00
"Thaddeus Young","Philadelphia 76ers",2014-02-24,2013,3244,1610612755,400489714,2,2,57,1,"Driving Dunk Shot","2PT Field Goal",0,"Milwaukee Bucks",0,4,7,5.70,"Wolters, Nate",4.10,18.60
"Thaddeus Young","Philadelphia 76ers",2014-01-22,2013,3244,1610612755,400489499,3,3,55,1,"Driving Finger Roll Layup Shot","2PT Field Goal",2,"New York Knicks",15,14,0,0.00,"Bargnani, Andrea",2.30,19.40
"Thaddeus Young","Philadelphia 76ers",2014-03-29,2013,3244,1610612755,400489960,1,5,10,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Detroit Pistons",-10,6,3,3.00,"Monroe, Greg",3.80,10.50
"Thaddeus Young","Philadelphia 76ers",2014-01-10,2013,3244,1610612755,400489405,1,11,01,1,"Driving Finger Roll Layup Shot","2PT Field Goal",0,"Detroit Pistons",-4,9,1,2.60,"Monroe, Greg",1.60,16.90
"Thaddeus Young","Philadelphia 76ers",2014-04-16,2013,3244,1610612755,400490098,1,6,52,1,"Driving Finger Roll Layup Shot","2PT Field Goal",3,"Miami Heat",-29,26,2,2.60,"Haslem, Udonis",2.20,9.80
"Thaddeus Young","Philadelphia 76ers",2013-11-08,2013,3244,1610612755,400488949,3,3,27,1,"Driving Finger Roll Layup Shot","2PT Field Goal",2,"Cleveland Cavaliers",-2,28,4,4.50,"Miles, CJ",2.40,20.30
"Thaddeus Young","Philadelphia 76ers",2014-03-14,2013,3244,1610612755,400489846,2,5,31,1,"Driving Finger Roll Layup Shot","2PT Field Goal",0,"Indiana Pacers",0,7,1,3.80,"Scola, Luis",2.60,5.90
"Thaddeus Young","Philadelphia 76ers",2013-11-11,2013,3244,1610612755,400488973,3,9,44,1,"Driving Finger Roll Layup Shot","2PT Field Goal",2,"San Antonio Spurs",24,9,3,6.30,"Diaw, Boris",2.50,18.60
"Thaddeus Young","Philadelphia 76ers",2014-04-05,2013,3244,1610612755,400490020,4,2,53,1,"Driving Finger Roll Layup Shot","2PT Field Goal",2,"Brooklyn Nets",-19,11,1,1.20,"Teletovic, Mirza",2.60,9.80
"Thaddeus Young","Philadelphia 76ers",2013-12-20,2013,3244,1610612755,400489256,3,6,38,1,"Driving Finger Roll Layup Shot","2PT Field Goal",2,"Brooklyn Nets",-23,15,1,1.80,"Williams, Deron",3.10,20.20
"Thaddeus Young","Philadelphia 76ers",2014-04-02,2013,3244,1610612755,400489990,3,0,37,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Charlotte Hornets",17,7,2,2.60,"Zeller, Cody",4.20,13.00
"Thaddeus Young","Philadelphia 76ers",2014-02-24,2013,3244,1610612755,400489714,3,3,00,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Milwaukee Bucks",-12,8,6,5.60,"Mayo, O.J.",3.50,19.30
"Thaddeus Young","Philadelphia 76ers",2013-11-02,2013,3244,1610612755,400488907,3,10,39,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Chicago Bulls",17,4,4,2.70,"Rose, Derrick",1.30,5.50
"Thaddeus Young","Philadelphia 76ers",2014-03-19,2013,3244,1610612755,400489881,1,3,40,1,"Driving Finger Roll Layup Shot","2PT Field Goal",2,"Chicago Bulls",-21,3,1,1.70,"Noah, Joakim",2.20,21.00
"Thaddeus Young","Philadelphia 76ers",2014-03-19,2013,3244,1610612755,400489881,1,9,12,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Chicago Bulls",10,4,3,4.10,"Hinrich, Kirk",1.90,20.90
"Thaddeus Young","Philadelphia 76ers",2014-04-16,2013,3244,1610612755,400490098,3,4,06,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Miami Heat",0,11,2,3.40,"Allen, Ray",5.20,8.70
"Thaddeus Young","Philadelphia 76ers",2014-01-29,2013,3244,1610612755,400489551,3,2,23,1,"Driving Finger Roll Layup Shot","2PT Field Goal",2,"Boston Celtics",-21,15,1,5.20,"Humphries, Kris",2.50,2.00
"Thaddeus Young","Philadelphia 76ers",2014-01-01,2013,3244,1610612755,400489344,4,1,49,1,"Driving Finger Roll Layup Shot","2PT Field Goal",2,"Denver Nuggets",-5,20,1,1.90,"Arthur, Darrell",5.70,8.20
"Thaddeus Young","Philadelphia 76ers",2014-04-11,2013,3244,1610612755,400490055,2,3,11,1,"Driving Finger Roll Layup Shot","2PT Field Goal",0,"Memphis Grizzlies",-7,3,1,2.40,"Calathes, Nick",3.60,16.00
"Thaddeus Young","Philadelphia 76ers",2013-11-18,2013,3244,1610612755,400489026,1,10,18,0,"Driving Finger Roll Layup Shot","2PT Field Goal",0,"Dallas Mavericks",-3,-5,1,1.30,"Calderon, Jose",1.50,10.90
"Thaddeus Young","Philadelphia 76ers",2014-04-14,2013,3244,1610612755,400490077,2,2,55,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Boston Celtics",7,-13,1,1.60,"Bradley, Avery",2.00,19.00
"Thaddeus Young","Philadelphia 76ers",2014-04-09,2013,3244,1610612755,400490037,1,5,30,0,"Driving Hook Shot","2PT Field Goal",5,"Toronto Raptors",6,53,2,2.20,"Patterson, Patrick",3.50,8.70
"Thaddeus Young","Philadelphia 76ers",2014-03-10,2013,3244,1610612755,400489819,3,3,58,1,"Driving Hook Shot","2PT Field Goal",3,"New York Knicks",6,30,2,3.80,"Smith, J.R.",2.70,9.70
"Thaddeus Young","Philadelphia 76ers",2014-03-10,2013,3244,1610612755,400489819,3,9,16,0,"Driving Jump shot","2PT Field Goal",5,"New York Knicks",-16,48,7,6.50,"Stoudemire, Amare",2.20,18.00
"Thaddeus Young","Philadelphia 76ers",2013-11-18,2013,3244,1610612755,400489026,4,8,04,0,"Driving Jump shot","2PT Field Goal",4,"Dallas Mavericks",-41,23,1,2.10,"Nowitzki, Dirk",2.70,13.80
"Thaddeus Young","Philadelphia 76ers",2014-01-31,2013,3244,1610612755,400489563,2,11,01,1,"Driving Jump shot","2PT Field Goal",2,"Atlanta Hawks",-5,26,1,6.30,"Scott, Mike",2.10,3.70
"Thaddeus Young","Philadelphia 76ers",2014-04-09,2013,3244,1610612755,400490037,2,5,46,0,"Driving Jump shot","2PT Field Goal",3,"Toronto Raptors",-27,19,0,2.10,"Vasquez, Greivis",3.50,24.00
"Thaddeus Young","Philadelphia 76ers",2014-04-09,2013,3244,1610612755,400490037,1,5,03,0,"Driving Jump shot","2PT Field Goal",5,"Toronto Raptors",-8,50,1,1.60,"Patterson, Patrick",2.60,10.60
"Thaddeus Young","Philadelphia 76ers",2014-03-24,2013,3244,1610612755,400489927,3,11,25,0,"Driving Jump shot","2PT Field Goal",7,"San Antonio Spurs",-70,36,0,1.70,"Leonard, Kawhi",1.90,0.00
"Thaddeus Young","Philadelphia 76ers",2014-01-24,2013,3244,1610612755,400489507,1,5,16,1,"Driving Layup Shot","2PT Field Goal",2,"Toronto Raptors",-21,-5,3,3.20,"DeRozan, DeMar",2.40,20.40
"Thaddeus Young","Philadelphia 76ers",2014-03-27,2013,3244,1610612755,400489945,2,8,01,1,"Driving Layup Shot","2PT Field Goal",1,"Houston Rockets",-13,-2,1,5.60,"Hamilton, Jordan",2.60,8.10
"Thaddeus Young","Philadelphia 76ers",2014-02-01,2013,3244,1610612755,400489573,2,1,57,1,"Driving Layup Shot","2PT Field Goal",0,"Detroit Pistons",1,3,0,1.10,"Drummond, Andre",0.90,14.90
